kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
toll_direct,mixed|d0000e0400h0600,0.5,-3.121089199569689,0.055694049539926654,0.04390766582095507,0.06743853006219874,35,paired
second_best_toll,mixed|d0000e0400h0600,0.28,-5.626736274226689,0.10040588678083576,0.0848975835188753,0.11606860727527654,32,paired
selfishness_gap,mixed|d0000e0500h0500,0.0,109.79153516866691,1.097915351686669,1.0866950966442661,1.1088190021035969,20,paired
selfishness_gap_vs_so,mixed|d0000e0500h0500,0.0,9.788036212767118,-0.1575956225114782,-0.1736269236063059,-0.1404600745073631,20,paired
selfishness_gap,mixed|d0000e0500h0500,0.17,107.48403823631216,1.0748403823631216,1.0669560121914434,1.0827177048774381,22,paired
selfishness_gap_vs_so,mixed|d0000e0500h0500,0.17,7.4831422918633175,-0.12076216069072293,-0.13258020573206272,-0.10797506984992924,22,paired
selfishness_gap,mixed|d0000e0500h0500,0.28,105.2371985394417,1.0523719853944171,1.0418707754513281,1.062470861456117,23,paired
selfishness_gap_vs_so,mixed|d0000e0500h0500,0.28,5.243728369323548,-0.08457644063459879,-0.10120380793395287,-0.06958842917629576,23,paired
selfishness_gap,mixed|d0000e0500h0500,0.5,107.8664711929004,1.078664711929004,1.066875363648515,1.0899844647945187,26,paired
selfishness_gap_vs_so,mixed|d0000e0500h0500,0.5,7.856774582669264,-0.1264021862356261,-0.14371282014645112,-0.10880504734812575,26,paired
toll_gap,mixed|d0000e0500h0500,0.17,-5.9841205839469644,-0.009258769138898892,-0.04230305787829233,0.020627774331561523,10,paired
toll_gap,mixed|d0000e0500h0500,0.28,-36.26561167112514,-0.05611098931473017,-0.0871247790573972,-0.02627336625465542,10,paired
toll_gap,mixed|d0000e0500h0500,0.5,-25.59734698822603,-0.03960480458365946,-0.06498223329247961,-0.014442164958965963,13,paired
toll_direct,mixed|d0000e0500h0500,0.17,-0.6896674389216103,0.012171295662441517,-0.0068756234041859755,0.029593677232853215,20,paired
toll_direct,mixed|d0000e0500h0500,0.28,-3.2582702085717394,0.057502163823568896,0.03788361934632957,0.07742516332494837,19,paired
toll_direct,mixed|d0000e0500h0500,0.5,-2.5578063633301675,0.04514033248263054,0.030288399680953867,0.06173201843495396,20,paired
second_best_toll,mixed|d0000e0500h0500,0.28,-3.2582702085717394,0.057502163823568896,0.03910502568412692,0.07635558849321163,19,paired
selfishness_gap,mixed|d0000e0600h0400,0.0,109.99069548336323,1.0999069548336322,1.0917760148501605,1.107550122988545,26,paired
selfishness_gap_vs_so,mixed|d0000e0600h0400,0.0,10.007045684378351,-0.16112185936473608,-0.17428628319848463,-0.1484011888777278,26,paired
selfishness_gap,mixed|d0000e0600h0400,0.17,109.07173539008497,1.0907173539008497,1.0794348846203616,1.102759339890108,28,paired
selfishness_gap_vs_so,mixed|d0000e0600h0400,0.17,9.073314411848097,-0.14642419056930928,-0.16483772643594144,-0.127746772431173,28,paired
selfishness_gap,mixed|d0000e0600h0400,0.28,106.49474221192838,1.0649474221192838,1.0560784523728346,1.0753275064135845,24,paired
